,Area [m2],Multipliers,
BASEMENT,2779.43,1,2779.43
CORE_BOTTOM,2496.12,1,2496.12
CORE_MID,2496.12,10,24961.2
CORE_TOP,2496.12,1,2496.12
PERIMETER_BOT_ZN_3,313.41,1,313.41
PERIMETER_BOT_ZN_2,201.98,1,201.98
PERIMETER_BOT_ZN_1,313.42,1,313.42
PERIMETER_BOT_ZN_4,201.98,1,201.98
PERIMETER_MID_ZN_3,313.41,10,3134.1
PERIMETER_MID_ZN_2,201.98,10,2019.8
PERIMETER_MID_ZN_1,313.42,10,3134.2
PERIMETER_MID_ZN_4,201.98,10,2019.8
PERIMETER_TOP_ZN_3,313.41,1,313.41
PERIMETER_TOP_ZN_2,201.98,1,201.98
PERIMETER_TOP_ZN_1,313.42,1,313.42
PERIMETER_TOP_ZN_4,201.98,1,201.98
GROUNDFLOOR_PLENUM,3563.11,1,3563.11
MIDFLOOR_PLENUM,3563.11,10,35631.1
TOPFLOOR_PLENUM,3563.11,1,3563.11
DATACENTER_BOT_ZN_6,36.2,1,36.2
DATACENTER_MID_ZN_6,36.2,10,362
DATACENTER_TOP_ZN_6,36.2,1,36.2
DATACENTER_BASEMENT_ZN_6,783.68,1,783.68
Total,46320.38,,
Conditioned Total,46320.38,,
Unconditioned Total,0,,
Not Part of Total,85514.54,,
